ID,Question,Time Posted,,,Duration (Mins),Correct,Correct Answer,Points,Question #,Our Answer
1,The pilot of a long running series was hindered by what tragic event?,2018-03-02 22:03:09.696235+00,7,60,5,f,,0,1,
2,"According to R. Scott and J. Yansey, what is the name of the game?",2018-03-02 22:08:02.712848+00,7,60,6,f,,0,1,
3,Who did Joseph Edgar Foreman let take a ride in his 1983 cadillac coup de ville while selling rap CDs in Palmdale.,2018-03-02 22:15:18.240173+00,7,60,6,f,,0,1,
4,What was the price of a pineapple in the Hy-Vee ad effective from Feb 15 to Feb 21 2017.,2018-03-02 22:22:27.700257+00,7,60,6,f,,0,1,
5,What are the dimensions of an NHL Rink measured in Ben Bishops to the nearest tenth of a Ben Bishop,2018-03-02 22:29:25.617824+00,7,60,6,f,,0,1,
16,What was the special task Julie had to accomplish to eat at the famed fountain lunch spot in high school?,2018-03-02 23:45:35.706986+00,5,60,6,f,,0,1,
23,"If you want to base bais an mpn transistor, with a beta=100 so it has a collector current of 11.3 mA, and your power supply outputs 12V, what value should your base resistor have?",2018-03-03 00:34:53.014459+00,5,60,6,f,,0,1,
6,What is the name of the first space balloon tourist?,2018-03-02 22:36:05.106363+00,5,60,6,f,,0,1,
7,"According to the potrzebic, when was the film the Room released in terms of clarks, mingos, and karsnovskis?",2018-03-02 22:48:23.444164+00,5,60,1,f,,0,1,
17,"In 2007, a famous delivery was placed for a pizza with no toppings  except for beef on one side. How many locations does this chain have in S. Korea?",2018-03-02 23:53:01.110185+00,5,60,6,f,,0,1,
8,What is the number of victims of the donner party divided by the average age of the victims the dyatlov-pass incident; nearest tenth?,2018-03-02 22:50:30.66691+00,5,60,6,f,,0,1,
18,On what date were the most foreigners killed on Utah sands?,2018-03-02 23:59:50.68793+00,5,60,6,f,,0,1,
9,"Eights and 1's make an emblem with only a harshod number to break the monotony of 0 that come after, what hall does this number represent?",2018-03-02 22:57:44.949803+00,5,60,6,f,,0,1,
31,"If you trained on the shores of Degobah, apprentice to Yoda, what is your chosen name.",2018-03-03 01:28:28.560056+00,5,60,6,f,,0,1,
24,"According to principal Scudworth, what is a necessary thing in life?",2018-03-03 00:40:28.082958+00,5,60,6,f,,0,1,
10,"According to field guide, how much did the last of Tippi Hedren's bracelets sell for in 1991",2018-03-02 23:04:41.049955+00,5,60,6,f,,0,1,
19,"In a novel by E Hemingway, a character who shares a name with a popular brand of alcohol drinks another brand. What is this brand?",2018-03-03 00:06:14.026083+00,5,60,6,f,,0,1,
11,"Consider the sum of numbers of units sold of top 3 albums. Stack that many CDs, height in miles. 19+ number of miles.Top selling album that year?",2018-03-02 23:11:34.302012+00,5,60,6,f,,0,1,
32,What object wobbles but doesn't fall down?,2018-03-03 01:35:12.341454+00,5,60,6,f,,0,1,
13,"In dungeon crawl classic, when you get a misfire casting invisible companion, then roll a 4 on the misfire, what happens?",2018-03-02 23:28:13.03689+00,5,60,3,f,,0,1,
14,Leath hit a runway light on date?,2018-03-02 23:31:54.733845+00,5,60,6,f,,0,1,
20,"If the average life expectancy in captivity of a rhino is 15 years, what year were scrambled eggs invented?",2018-03-03 00:13:13.085927+00,5,60,6,f,,0,1,
15,A fish's law states the vast majority of human endeavors are worthless. What in the fish want the law to say?,2018-03-02 23:38:49.32457+00,5,60,6,f,,0,1,
25,"During the 2015 Crendorian invitational, how did Billy the kid briefly die?",2018-03-03 00:47:12.475983+00,5,60,6,f,,0,1,
